"customer","total_orders","total_revenue","avg_order_value","customer_segment"
Sean Miller,5,25043.10,1669.54,High Value
Tamara Chand,5,19052.20,1587.68,High Value
Raymond Buch,6,15117.30,839.85,High Value
Tom Ashbrook,4,14595.60,1459.56,High Value
Adrian Barton,10,14473.60,723.68,High Value
Ken Lonsdale,12,14175.20,488.80,High Value
Sanjit Chand,9,14142.30,642.83,High Value
Hunter Lopez,6,12873.30,1170.30,High Value
Sanjit Engle,11,12209.40,642.60,High Value
Christopher Conant,5,12129.10,1102.64,High Value
Todd Sumrall,6,11891.80,792.78,High Value
Greg Tran,11,11820.10,407.59,High Value
Becky Martin,4,11789.60,736.85,High Value
Seth Vernon,10,11471.00,358.47,High Value
Caroline Jumper,8,11165.00,558.25,High Value
Clay Ludtke,12,10880.50,388.59,High Value
Maria Etezadi,10,10663.70,484.71,High Value
Karen Ferguson,7,10604.30,589.13,High Value
Bill Shonely,5,10501.70,1166.85,High Value
Edward Hooks,12,10310.90,322.21,High Value
John Lee,11,9799.92,288.23,High Value
Grant Thornton,3,9351.21,1558.54,High Value
Helen Wasserman,8,9300.25,465.01,High Value
Tom Boeckenhauer,7,9133.99,537.29,High Value
Peter Fuller,4,9062.86,476.99,High Value
Christopher Martinez,4,8954.02,895.40,High Value
Justin Deggeller,8,8828.03,519.30,High Value
Joe Elijah,10,8697.84,395.36,High Value
Laura Armstrong,11,8673.22,333.59,High Value
Pete Kriz,12,8646.93,345.88,High Value
Daniel Raglin,8,8350.87,642.37,High Value
Natalie Fritzler,7,8322.83,594.49,High Value
Karen Daniels,5,8282.36,517.65,High Value
Nick Crebassa,7,8241.74,549.45,High Value
Harry Marie,10,8236.77,411.84,High Value
Keith Dawkins,12,8181.26,292.19,High Value
Sean Braxton,7,8057.89,473.99,High Value
Zuschuss Carroll,13,8025.71,258.89,High Value
Joseph Holt,6,7955.00,568.21,High Value
Nora Preis,7,7903.18,607.94,High Value
Anna Häberlin,12,7888.29,342.97,High Value
Adam Bellavance,8,7755.62,430.87,High Value
Jim Epp,7,7754.98,387.75,High Value
Jane Waco,6,7721.71,551.55,High Value
Lena Creighton,12,7663.13,333.18,High Value
John Murray,7,7625.08,586.54,High Value
Jonathan Doherty,11,7610.86,237.84,High Value
Patrick O'Brill,11,7473.83,339.72,High Value
Maribeth Schnelling,10,7443.69,310.15,High Value
Rick Wilson,7,7397.40,321.63,High Value
Brian Moss,11,7294.19,251.52,High Value
Paul Prost,10,7252.61,213.31,High Value
Natalie Webber,7,7234.01,328.82,High Value
Dean percer,11,7198.76,248.23,High Value
Fred Hopkins,8,6987.20,537.48,High Value
Rick Huthwaite,6,6979.18,581.60,High Value
Penelope Sewall,7,6843.63,526.43,High Value
Brenda Bowman,9,6765.73,338.29,High Value
Joel Eaton,13,6760.82,293.95,High Value
Yana Sorensen,8,6720.44,560.04,High Value
Andy Reiter,6,6608.45,734.27,High Value
Dan Reichenbach,9,6528.03,272.00,High Value
Grace Kelly,9,6497.27,464.09,High Value
Joseph Airdo,8,6491.03,270.46,High Value
Nathan Mautz,7,6459.34,461.38,High Value
Valerie Dominguez,6,6442.25,402.64,High Value
Sarah Brown,6,6411.00,534.25,High Value
James Galang,11,6366.39,353.69,High Value
Darrin Martin,7,6345.10,317.26,High Value
Corinna Mitchell,6,6339.56,633.96,High Value
Max Jones,7,6320.75,421.38,High Value
Brosina Hoffman,8,6255.35,260.64,High Value
Rob Lucas,8,6234.91,259.79,High Value
William Brown,11,6160.10,166.49,High Value
Victoria Wilson,10,6134.04,340.78,High Value
Shirley Daniels,9,6121.11,291.48,High Value
Quincy Jones,9,6108.34,469.87,High Value
Alan Dominguez,8,6106.88,508.91,High Value
Cassandra Brandow,10,6076.14,233.70,High Value
Greg Maxwell,3,6049.97,550.00,High Value
Shahid Collister,9,5992.54,299.63,High Value
Kristen Hastings,7,5990.80,399.39,High Value
Robert Marley,5,5979.10,543.55,High Value
Keith Herrera,7,5952.86,258.82,High Value
Ben Ferrer,11,5907.97,218.81,High Value
Christine Phan,8,5888.27,392.55,High Value
Bill Donatelli,12,5718.52,300.97,High Value
Cindy Stewart,6,5690.06,632.23,High Value
Anne McFarland,8,5664.02,257.46,High Value
Ross Baird,8,5633.32,312.96,High Value
Katherine Murray,8,5620.19,281.01,High Value
Alex Avila,5,5563.56,505.78,High Value
Suzanne McNair,12,5563.39,252.88,High Value
Naresj Patel,6,5529.62,263.32,High Value
Amy Cox,7,5527.85,614.21,High Value
Mick Hernandez,9,5503.09,250.14,High Value
Dennis Pardue,9,5480.72,391.48,High Value
Emily Phan,17,5478.06,176.71,High Value
Yoseph Carroll,5,5454.35,681.79,High Value
Stefania Perrino,9,5440.32,226.68,High Value
Luke Weiss,7,5420.51,361.37,High Value
Cathy Prescott,8,5402.25,385.88,High Value
Thomas Seio,7,5371.09,282.69,High Value
Tonja Turnell,7,5364.81,383.20,High Value
Mitch Webber,7,5341.90,381.56,High Value
Tom Prescott,5,5329.00,532.90,High Value
Tamara Willingham,7,5278.83,439.90,High Value
Dianna Wilson,5,5271.63,479.24,High Value
Mitch Willingham,2,5253.88,1751.29,High Value
Harold Ryan,7,5248.79,374.91,High Value
Steven Cartwright,11,5226.21,201.01,High Value
Resi Pölking,12,5153.08,206.12,High Value
Lena Radford,6,5142.89,321.43,High Value
Mike Pelletier,9,5087.92,267.79,High Value
Anna Andreadi,6,5086.94,282.61,High Value
Ivan Liston,7,5040.74,360.05,High Value
Kelly Lampkin,8,5016.49,228.02,High Value
Laurel Beltran,8,4985.68,207.74,High Value
Dave Hallsten,6,4932.87,214.47,High Value
Irene Maddox,7,4930.47,234.78,High Value
Ted Trevino,7,4915.60,351.11,High Value
Kunst Miller,8,4909.47,175.34,High Value
Philisse Overcash,9,4893.04,271.84,High Value
Heather Kirkland,8,4877.78,325.19,High Value
